Date,Person,Time,EventType,City,State
"January 5, 2007",Tommy Thompson,Time N/A,Fundraiser,Madison,WI
"January 6, 2007",Mitt Romney,Time N/A,Speech,Sea Island,GA
"January 11, 2007",Mike Gravel,6:30 p.m.,Speech,Hanover,NH
"January 15, 2007",Chris Dodd,8 a.m.,Speech,West Columbia,SC
"January 15, 2007",Chris Dodd,10 a.m.,Appearance,Columbia,SC
"January 15, 2007",Chris Dodd,3 p.m.,Speech,Columbia,SC
"January 19, 2007",Chris Dodd,5:30 p.m.,Rally,Hartford,CT
"January 20, 2007",Chris Dodd,1 p.m.,Speech,Dover,NH
"January 20, 2007",Chris Dodd,4 p.m.,Meeting,Deerfield,NH
"January 20, 2007",Chris Dodd,6:30 p.m.,Appearance,Henniker,NH
"January 21, 2007",Chris Dodd,1 p.m.,Speech,Hanover,NH
"January 26, 2007",Bill Richardson,Time N/A,Fundraiser,Albuquerque,NM
"January 27, 2007",Hillary Rodham Clinton,Time N/A,Speech,Des Moines,IA
"January 28, 2007",Hillary Rodham Clinton,Time N/A,Speech,Davenport,IA
"January 28, 2007",Bill Richardson,Time N/A,Speech,Minden,NV
"February 3, 2007",Joe Biden,Time N/A,Speech,Washington,DC
"February 3, 2007",Mike Gravel,Time N/A,Speech,Washington,DC
"February 3, 2007",Bill Richardson,Time N/A,Speech,Washington,DC
"February 10, 2007",Hillary Rodham Clinton,Time N/A,Speech,Berlin,NH
"February 10, 2007",Hillary Rodham Clinton,Time N/A,Speech,Concord,NH
"February 10, 2007",Barack Obama,Time N/A,Speech,Springfield,IL
"February 10, 2007",Barack Obama,Time N/A,Town Hall,Cedar Rapids,IA
"February 10, 2007",Barack Obama,Time N/A,Meeting,Waterloo,IA
"February 10, 2007",Barack Obama,Time N/A,Speech,Springfield,IL
"February 11, 2007",Hillary Rodham Clinton,4 p.m.,Speech,Keene,NH
"February 11, 2007",Mike Gravel,Time N/A,Speech,Watertown,WI
"February 11, 2007",Barack Obama,Time N/A,Rally,Ames,IA
"February 15, 2007",Chris Dodd,10:30 a.m.,Appearance,Nashua,NH
"February 15, 2007",Chris Dodd,4:15 p.m.,Meeting,Portsmouth,NH
"February 15, 2007",Bill Richardson,Time N/A,Fundraiser,Albuquerque,NM
"February 16, 2007",Chris Dodd,8 a.m.,Speech,Bedford,NH
"February 16, 2007",Chris Dodd,1:30 p.m.,Meeting,Keene,NH
"February 16, 2007",Dennis Kucinich,7:30 p.m.,Speech,Lakewood,OH
"February 17, 2007",Hillary Rodham Clinton,10 a.m.,Speech,Dover,NH
