Post Number,Tweets,Likes,Comments,Title,Date,Author,Categories,Graphics,Length,Videos
1,None,None,Andrew,['Zombies'],-1,1,,,,
2,None,None,Aleks Jakulin,['Statistical computing'],-1,1,,,,
3,None,None,Andrew,"['Literature', 'Statistical graphics']",-1,1,,,,
4,None,None,Andrew,['Sociology'],-1,1,,,,
5,None,None,Aleks Jakulin,"['Economics', 'Miscellaneous Statistics']",-1,1,,,,
6,None,None,Andrew,"['Sports', 'Teaching']",-1,1,,,,
7,None,None,Andrew,"['Political Science', 'Zombies']",-1,1,,,,
8,None,None,Andrew,['Political Science'],-1,1,,,,
9,None,None,Andrew,"['Decision Theory', 'Miscellaneous Statistics', 'Sociology']",-1,1,,,,
10,None,None,Andrew,['Political Science'],-1,1,,,,
11,None,None,Andrew,['Sociology'],-1,1,,,,
12,None,None,Andrew,['Decision Theory'],-1,1,,,,
13,None,None,Andrew,"['Miscellaneous Science', 'Political Science']",-1,1,,,,
14,None,None,Phil,['Uncategorized'],-1,1,,,,
15,None,None,Andrew,"['Bayesian Statistics', 'Miscellaneous Statistics']",-1,1,,,,
16,None,None,Andrew,"['Decision Theory', 'Economics', 'Multilevel Modeling', 'Public Health']",-1,1,,,,
17,None,None,Andrew,"['Bayesian Statistics', 'Miscellaneous Statistics']",-1,1,,,,
18,None,None,Andrew,"['Literature', 'Zombies']",-1,1,,,,
19,None,None,Andrew,['Sociology'],-1,1,,,,
20,None,None,Andrew,"['Political Science', 'Zombies']",-1,1,,,,
21,None,None,Phil,['Miscellaneous Statistics'],-1,1,,,,
22,None,None,Andrew,['Bayesian Statistics'],-1,1,,,,
23,None,None,Andrew,"['Bayesian Statistics', 'Miscellaneous Statistics']",-1,1,,,,
24,None,None,Andrew,"['Bayesian Statistics', 'Zombies']",-1,1,,,,
25,None,None,Andrew,"['Statistical graphics', 'Zombies']",-1,1,,,,
26,None,None,Andrew,"['Economics', 'Sociology']",-1,1,,,,
27,None,None,Andrew,"['Statistical computing', 'Zombies']",-1,1,,,,
28,None,None,Andrew,['Bayesian Statistics'],-1,1,,,,
29,None,None,Andrew,"['Bayesian Statistics', 'Miscellaneous Statistics']",-1,1,,,,
30,None,None,Andrew,['Bayesian Statistics'],-1,1,,,,
31,None,None,Andrew,['Political Science'],-1,1,,,,
32,None,None,Aleks Jakulin,"['Economics', 'Public Health']",-1,1,,,,
33,None,None,Andrew,['Economics'],-1,1,,,,
34,None,None,Andrew,['Miscellaneous Statistics'],-1,1,,,,
35,None,None,Andrew,['Teaching'],-1,1,,,,
36,None,None,Andrew,"['Bayesian Statistics', 'Multilevel Modeling']",-1,1,,,,
37,None,None,Andrew,['Bayesian Statistics'],-1,1,,,,
38,None,None,Andrew,['Teaching'],-1,1,,,,
39,None,None,Andrew,"['Sociology', 'Zombies']",-1,1,,,,
40,None,None,Andrew,"['Decision Theory', 'Miscellaneous Statistics', 'Public Health']",-1,1,,,,
41,None,None,Andrew,"['Miscellaneous Science', 'Miscellaneous Statistics', 'Zombies']",-1,1,,,,
42,None,None,Andrew,"['Causal Inference', 'Zombies']",-1,1,,,,
43,None,None,Andrew,"['Miscellaneous Statistics', 'Teaching']",-1,1,,,,
44,None,None,Andrew,"['Sociology', 'Statistical computing']",-1,1,,,,
45,None,None,Andrew,['Statistical graphics'],-1,1,,,,
46,None,None,Andrew,"['Bayesian Statistics', 'Causal Inference']",-1,1,,,,
47,None,None,Andrew,"['Bayesian Statistics', 'Statistical computing']",-1,1,,,,
48,None,None,Andrew,['Political Science'],-1,1,,,,
49,None,None,Andrew,"['Bayesian Statistics', 'Political Science']",-1,1,,,,
50,None,None,Andrew,['Sociology'],-1,1,,,,
51,None,None,Aleks Jakulin,"['Economics', 'Statistical graphics']",-1,1,,,,
52,None,None,Andrew,"['Bayesian Statistics', 'Statistical computing']",-1,1,,,,
53,None,None,Andrew,"['Economics', 'Sports']",-1,1,,,,
54,None,None,Andrew,['Political Science'],-1,1,,,,
55,None,None,Andrew,"['Political Science', 'Statistical graphics']",-1,1,,,,
56,None,None,Andrew,"['Decision Theory', 'Miscellaneous Science']",-1,1,,,,
57,None,None,Andrew,"['Miscellaneous Statistics', 'Teaching']",-1,1,,,,
58,None,None,Andrew,['Sociology'],-1,1,,,,
59,None,None,Andrew,['Multilevel Modeling'],-1,1,,,,
60,None,None,Andrew,"['Sociology', 'Zombies']",-1,1,,,,
61,None,None,Andrew,"['Economics', 'Statistical graphics']",-1,1,,,,
62,None,None,Andrew,['Miscellaneous Statistics'],-1,1,,,,
63,None,None,Andrew,['Sports'],-1,1,,,,
64,None,None,Andrew,"['Miscellaneous Science', 'Political Science']",-1,1,,,,
65,None,None,Andrew,['Teaching'],-1,1,,,,
66,None,None,Andrew,['Sports'],-1,1,,,,
67,None,None,Andrew,['Miscellaneous Statistics'],-1,1,,,,
68,None,None,Andrew,['Political Science'],-1,1,,,,
69,None,None,Andrew,"['Economics', 'Sociology', 'Uncategorized']",-1,1,,,,
70,None,None,Andrew,"['Sociology', 'Statistical graphics']",-1,1,,,,
71,None,None,Andrew,"['Economics', 'Sociology']",-1,1,,,,
72,None,None,Andrew,['Miscellaneous Statistics'],-1,1,,,,
73,None,None,Andrew,['Miscellaneous Science'],-1,1,,,,
74,None,None,Andrew,['Statistical graphics'],-1,1,,,,
75,None,None,Andrew,"['Bayesian Statistics', 'Miscellaneous Science', 'Multilevel Modeling']",-1,1,,,,
