Post Number,Title,Date,Author,Categories,Graphics,Length
1,Joshua Clover update,"<span class=""postdate"">20 February 2012, 9:33 am</span>",Andrew,['Zombies'],-1,1
2,Factual &#8211; a new place to find data,"<span class=""postdate"">19 February 2012, 9:44 pm</span>",Aleks Jakulin,['Statistical computing'],-1,1
3,Standardized writing styles and standardized graphing styles,"<span class=""postdate"">19 February 2012, 9:23 am</span>",Andrew,"['Literature', 'Statistical graphics']",-1,1
4,Not as ugly as you look,"<span class=""postdate"">18 February 2012, 9:30 am</span>",Andrew,['Sociology'],-1,1
5,Rare name analysis and wealth convergence,"<span class=""postdate"">17 February 2012, 8:32 pm</span>",Aleks Jakulin,"['Economics', 'Miscellaneous Statistics']",-1,1
6,Sports examples in class,"<span class=""postdate"">17 February 2012, 9:08 am</span>",Andrew,"['Sports', 'Teaching']",-1,1
7,"Believe the statistics, not your lying eyes","<span class=""postdate"">17 February 2012, 7:56 am</span>",Andrew,"['Political Science', 'Zombies']",-1,1
8,"A previous discussion with Charles Murray about liberals, conservatives, and social class","<span class=""postdate"">16 February 2012, 10:25 pm</span>",Andrew,['Political Science'],-1,1
9,&#8220;False-positive psychology&#8221;,"<span class=""postdate"">16 February 2012, 9:02 am</span>",Andrew,"['Decision Theory', 'Miscellaneous Statistics', 'Sociology']",-1,1
10,Charles Murray on the new upper class,"<span class=""postdate"">15 February 2012, 9:00 pm</span>",Andrew,['Political Science'],-1,1
11,The tabloids strike again,"<span class=""postdate"">14 February 2012, 1:25 pm</span>",Andrew,['Sociology'],-1,1
12,"Extra babies on Valentine‰Ûªs Day, fewer on Halloween?","<span class=""postdate"">14 February 2012, 9:05 am</span>",Andrew,['Decision Theory'],-1,1
13,Recently in the sister blog,"<span class=""postdate"">13 February 2012, 9:55 pm</span>",Andrew,"['Miscellaneous Science', 'Political Science']",-1,1
14,"Help with this problem, win valuable prizes","<span class=""postdate"">13 February 2012, 7:05 pm</span>",Phil,['Uncategorized'],-1,1
15,Philosophy of Bayesian statistics: my reactions to Wasserman,"<span class=""postdate"">13 February 2012, 9:12 am</span>",Andrew,"['Bayesian Statistics', 'Miscellaneous Statistics']",-1,1
16,"Meta-analysis, game theory, and incentives to do replicable research","<span class=""postdate"">12 February 2012, 9:15 am</span>",Andrew,"['Decision Theory', 'Economics', 'Multilevel Modeling', 'Public Health']",-1,1
17,Adding an error model to a deterministic model,"<span class=""postdate"">11 February 2012, 9:01 am</span>",Andrew,"['Bayesian Statistics', 'Miscellaneous Statistics']",-1,1
18,"If an entire article in Computational Statistics and Data Analysis were put together from other, unacknowledged, sources, would that be a work of art?","<span class=""postdate"">10 February 2012, 9:50 am</span>",Andrew,"['Literature', 'Zombies']",-1,1
19,Familial Linkage between Neuropsychiatric Disorders and Intellectual Interests,"<span class=""postdate"">9 February 2012, 9:47 am</span>",Andrew,['Sociology'],-1,1
20,"Charles Murray [perhaps] does a Tucker Carlson, provoking me to unleash the usual torrent of graphs","<span class=""postdate"">8 February 2012, 9:07 am</span>",Andrew,"['Political Science', 'Zombies']",-1,1
21,"The more likely it is to be X, the more likely it is to be Not X?","<span class=""postdate"">7 February 2012, 7:25 pm</span>",Phil,['Miscellaneous Statistics'],-1,1
22,Philosophy of Bayesian statistics: my reactions to Hendry,"<span class=""postdate"">7 February 2012, 9:45 am</span>",Andrew,['Bayesian Statistics'],-1,1
23,Bayesian model-building by pure thought: Some principles and examples,"<span class=""postdate"">6 February 2012, 9:52 am</span>",Andrew,"['Bayesian Statistics', 'Miscellaneous Statistics']",-1,1
24,What is a prior distribution?,"<span class=""postdate"">5 February 2012, 9:30 am</span>",Andrew,"['Bayesian Statistics', 'Zombies']",-1,1
25,&#8220;Turn a Boring Bar Graph into a 3D Masterpiece&#8221;,"<span class=""postdate"">4 February 2012, 9:26 pm</span>",Andrew,"['Statistical graphics', 'Zombies']",-1,1
26,More on the economic benefits of universities,"<span class=""postdate"">4 February 2012, 9:16 am</span>",Andrew,"['Economics', 'Sociology']",-1,1
27,Web equation,"<span class=""postdate"">3 February 2012, 5:06 pm</span>",Andrew,"['Statistical computing', 'Zombies']",-1,1
28,Philosophy of Bayesian statistics: my reactions to Senn,"<span class=""postdate"">3 February 2012, 9:53 am</span>",Andrew,['Bayesian Statistics'],-1,1
29,The inevitable problems with statistical significance and 95% intervals,"<span class=""postdate"">2 February 2012, 9:00 am</span>",Andrew,"['Bayesian Statistics', 'Miscellaneous Statistics']",-1,1
