Post Number,Title,Weekday,Date,Month,Day,Year,Author,Categories,Graphics,Length,Comments,Tweets
1,John Cochrane on High Frequency Trading,Wednesday,"February 29th, 2012",February,29,2012,Karl Smith,Economics,0,124,2,3
2,Interest Rate Paths Help If You Know Something About Your Asset,Tuesday,"February 28th, 2012",February,28,2012,Karl Smith,Economics,0,514,2,3
3,When Housing Goes Critical,Tuesday,"February 28th, 2012",February,28,2012,Karl Smith,Economics,1,155,2,3
4,Warren Buffet on Apple Cash,Tuesday,"February 28th, 2012",February,28,2012,Karl Smith,Economics,0,192,3,3
5,Sumner on Interest and Money,Tuesday,"February 28th, 2012",February,28,2012,Karl Smith,Economics,0,554,3,3
6,"Growth, Interrupted",Tuesday,"February 28th, 2012",February,28,2012,Karl Smith,Economics,0,410,10,3
7,When Does Atlas Shrug&ndash;Why Does Atlas Shrug,Monday,"February 27th, 2012",February,27,2012,Karl Smith,Economics,0,589,18,3
8,Adding Up Constraints in Housing [Terse],Monday,"February 27th, 2012",February,27,2012,Karl Smith,Economics,0,154,3,3
9,Oil and the ZLB [Terse],Monday,"February 27th, 2012",February,27,2012,Karl Smith,Economics,0,157,1,3
10,Why Oil Matters,Sunday,"February 26th, 2012",February,26,2012,Karl Smith,Economics,0,460,10,3
11,Pressuring businesses for better treatment of animals versus workers,Sunday,"February 26th, 2012",February,26,2012,Adam Ozimek,"Economics , Regulation",0,496,9,3
12,Smith/Yglesias Thesis in One Chart,Sunday,"February 26th, 2012",February,26,2012,Karl Smith,Economics,1,278,3,3
13,On Teaching,Sunday,"February 26th, 2012",February,26,2012,Karl Smith,Economics,0,610,7,3
14,Stephen Williamson on The Crisis,Sunday,"February 26th, 2012",February,26,2012,Karl Smith,Economics,0,402,8,3
15,The Pretense of Stagnation,Sunday,"February 26th, 2012",February,26,2012,Karl Smith,Economics,2,282,3,3
16,Time-to-Build and Household Formation in US,Saturday,"February 25th, 2012",February,25,2012,Karl Smith,Economics,4,365,0,3
17,US Government Poised to Turn Down 145 Million Paying Customers by 2020,Saturday,"February 25th, 2012",February,25,2012,Karl Smith,Economics,1,28,4,3
18,Debt and Regret: Inflation Edition,Saturday,"February 25th, 2012",February,25,2012,Karl Smith,Economics,2,417,7,3
19,Taking the broader perspective on Foxconn,Thursday,"February 23rd, 2012",February,23,2012,Adam Ozimek,Economics,0,734,20,3
20,On The Seasonal Adjustment,Thursday,"February 23rd, 2012",February,23,2012,Karl Smith,Uncategorized,1,298,0,3
21,Still Waiting for the Kick,Thursday,"February 23rd, 2012",February,23,2012,Karl Smith,Economics,2,265,4,3
