Username,Checked,Status count,Start date,Favorites,Location,Website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alanbeattie,1,8483,12/16/08 10:42,2,Washington DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowreyAnnie,1,65,10/4/11 23:30,0,"Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saraziff,1,782,7/23/10 4:49,145,"New York, NY",http://www.modelalliance.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austan_Goolsbee,1,168,11/19/10 2:37,0,Chicago,http://goolsbee.uchicago.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stlouisfed,1,2278,9/4/09 15:57,0,"St. Louis, MO",http://www.stlouisfed.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodrikdani,1,2714,3/24/11 14:52,7,"Cambridge, MA (USA)",http://rodrik.typepad.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GingrichIdeas,1,403,12/13/11 22:35,0,"Frankly, Fundamentally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillOremus,1,1268,6/10/10 4:23,2,New York City,http://slate.me/qsSMOf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BetseyStevenson,1,408,9/23/11 20:50,7,Philadelphia,http://www.betseystevenson.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheStalwart,1,56217,3/7/08 19:37,55,"iPhone: 40.715683,-73.994682",http://www.businessinsider.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomscocca,1,1392,6/23/09 18:34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guan,1,30332,9/22/06 9:01,5131,"New York, NY",http://guanpl.us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marincogan,1,2662,6/5/09 18:34,6,"Washington, DC",http://www.gq.com/contributors/marin-cogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_bhask,1,5903,4/21/09 4:07,28,washington dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morningmoneyben,1,7872,4/21/10 17:54,583,NYC,http://www.politico.com/morningmoney/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
