Username,Checked,Activity Level
the_quark,0,0
Pats_in_SF,0,0
BeauStead,0,0
Numuiren,0,0
godh4x,0,0
YGBSM,0,0
kvhoff,0,0
WagerMinds,0,0
Seanmadaras,0,0
PSMNolan,0,0
FLakesDems,0,0
JStanghini,0,0
cascamike,0,0
PaX2634,0,0
joelhunter,0,0
benrhoffman,0,0
ConfidentInvest,0,0
cnare,0,0
snarkologist,0,0
DVMM7799,0,0
davidmkim,0,0
pjbracke,0,0
NoahSmitty,0,0
RussForRaleigh,0,0
Antaresblog,0,0
curryeggplant,0,0
FeedTheFlow,0,0
Mihamovic,0,0
KhalMojo,0,0
kevinmcnabbintl,0,0
cornertaco,0,0
GrantHumphreys,0,0
WashingtonViews,0,0
NowruzNoWar,0,0
MythicalLights,0,0
Zack_Rubin,0,0
GreatLakesGuy,0,0
andrew_wishnia,0,0
Nubba1,0,0
Akbarhon,0,0
hughesdei,0,0
JFBasile,0,0
danee_economics,0,0
cadegarvtrip,0,0
vich100,0,0
keithbalter,0,0
Drewspear,0,0
rflacks,0,0
corridor39,0,0
BradWadlowMyCJ,0,0
GoDems2012,0,0
revengeoff,0,0
vinsanity882,0,0
SlateBooks,0,0
motorcyclejesse,0,0
kenliu226,0,0
chsadc,0,0
owilton,0,0
mjay159,0,0
MyFreeState,0,0
alittlebearnot,0,0
jonathanrcronin,0,0
cathjstew,0,0
TheRealMsMurphy,0,0
EmaX3819,0,0
UltraVylynt,0,0
CarsonJulie,0,0
KonaSusan,0,0
lunaticprophet,0,0
mentionmedia,0,0
cmrome06,0,0
campyrob,0,0
7lo66,0,0
abdullah_er21,0,0
LynneaBylund,0,0
writerontheedge,0,0
patrickrunge,0,0
jaxonwesternbe,0,0
Sidney_Barczak,0,0
ETTYM,0,0
Taternaut,0,0
LuvFoodAndMedia,0,0
SarahMarie516,0,0
shitmittsays,0,0
dvandemark,0,0
CarolynLumsden,0,0
kenolds,0,0
qhn86,0,0
MothstoaFlame1,0,0
