Username,Checked,Activity Level
alanbeattie,1,0
LowreyAnnie,1,0
saraziff,1,0
Austan_Goolsbee,1,0
stlouisfed,1,0
rodrikdani,1,0
GingrichIdeas,1,0
WillOremus,1,0
BetseyStevenson,1,0
TheStalwart,1,0
tomscocca,1,0
guan,1,0
marincogan,1,0
el_bhask,1,0
morningmoneyben,1,0
TimothyNoah1,1,0
quinnnorton,1,0
stephenfgordon,1,0
davidplotz,1,0
amaeryllis,1,0
Nouriel,1,0
itscompliKATEd,1,0
MilesGrant,1,0
MichaelMandel,1,0
CondeElevator,1,0
lvassy,1,0
jmpalmieri,1,0
aaronsw,1,0
michelleinbklyn,1,0
cschweitz,1,0
leet,1,0
MarketUrbanism,1,0
TP_Green,1,0
Travis_Waldron,1,0
TPJustice,1,0
jesseclee44,1,0
Dudeitor,1,0
siforg,1,0
interfluidity,1,0
dcra,1,0
MarieSDiamond,1,0
UrbanLandInst,1,0
franceintheus,1,0
haroldpollack,1,0
jamellesbowtie,1,0
somanader,1,0
DLind,1,0
AdamWeinstein,1,0
sissenberg,1,0
SuzyKhimm,1,0
shani_o,1,0
dsquareddigest,1,0
lydiadepillis,1,0
jonathanchait,1,0
AREVAgroup,1,0
AREVAinc,1,0
DLeonhardt,1,0
lizzieohreally,1,0
davidfrum,1,0
elise_foley,1,0
armsmasher,1,0
ryanavent,1,0
KerryHowley,1,0
NickYglesias,1,0
asymco,1,0
HBoushey,1,0
rafaelyglesias,1,0
saramead,1,0
mb_boell,1,0
resnikoff,1,0
smithsj,1,0
pemalevy,1,0
RTMcNeely,1,0
robynkonichiwa,1,0
RubenGallego,1,0
matthewstoller,1,0
jbarro,1,0
rortybomb,1,0
m_rhee,1,0
joshuafoust,1,0
irincarmon,1,0
crampell,1,0
eatkushi,1,0
dccityvista,1,0
TaKorean,1,0
housingcomplex,1,0
TommyWells,1,0
scootes,1,0
kaysteiger,1,0
ModeledBehavior,1,0
Dahlialithwick,1,0
reihansalam,1,0
fivethirtyeight,1,0
kristoncapps,1,0
PinnaStorm,1,0
Neil_Irwin,1,0
ArturoGalletti,1,0
tjl,1,0
delong,1,0
jbplainblog,1,0
tanehisi,1,0
willwilkinson,1,0
JarrettBarrios,1,0
sommermathis,1,0
ambelenky,1,0
SaraLang,1,0
felixsalmon,1,0
Atrios,1,0
neeratanden,1,0
AndersFoghR,1,0
OKnox,1,0
ChasLicc,1,0
NorwayUSpolitix,1,0
CAPAction,1,0
kjhealy,1,0
JoeLieberman,1,0
