Username,Checked,Status count,Start date,Followers count,Favorites,Website
SlaughterAM,1,7012,2/15/11 11:33,24730,327,http://www.princeton.edu/~slaughtr/
nxthompson,1,1863,10/21/08 19:50,7478,15,http://thehawkandthedove.nickthompson.com
DLeonhardt,1,2092,7/18/10 23:44,15067,0,http://www.nytimes.com/leonhardt
cbsjancrawford,1,1148,1/6/10 2:06,5079,0,http://www.cbsnews.com/sections/crossroads/main504564.shtml?tag=contentMain;contentBody
michele_norris,1,9012,7/26/10 18:46,10530,12,http://www.michele-norris.com
Public_Citizen,1,4778,4/8/08 20:07,10041,28,http://www.citizen.org
CChristineFair,1,7737,9/27/10 1:50,6263,86,http://christinefair.net
TheresaRobb,1,4247,9/8/09 20:11,18484,8,http://TheresaRobbRadioShow.com
Eric_GERVET,1,1869,1/9/11 19:19,10974,30,
owillis,1,92522,4/5/07 7:03,11418,34,http://www.oliverwillis.com
richchristianse,1,2300,9/19/08 23:01,25288,0,http://zigzagprinciple.com/
TheSocialCMO,1,21064,8/28/09 17:45,20145,331,http://www.thesocialcmo.com/blog
JustinOnWeb,1,1202,8/18/10 9:59,11330,2,http://tinyurl.com/c8mahyq
RyanLizza,1,4903,10/7/09 16:37,15156,33,http://nyr.kr/jDDIRt
wdjstraw,1,5478,3/14/09 22:53,13464,1,http://www.leftfootforward.org
theprospect,1,8271,8/22/08 20:21,8375,0,http://prospect.org/
aguilarcamin,1,1224,2/8/10 19:48,76979,1,http://www.nexos.com.mx
MideastChannel,1,5534,2/25/10 17:10,8442,2,http://mideast.foreignpolicy.com/
sarahkliff,1,4097,1/29/09 21:14,7107,39,http://www.washingtonpost.com/wonkblog
andyhgton88,1,190,7/31/10 5:14,7375,0,http://www.powertoachieve.co.uk
PJMedia_com,1,21560,7/20/07 0:28,11016,0,http://pjmedia.com/
johndickerson,1,1214,7/31/08 3:57,7824,0,http://www.slate.com/default.aspx?id=3944&da=&qt=&au=43548&submit.x=24&submit.y=
SSRC_org,1,4322,3/10/09 18:16,9260,0,http://www.ssrc.org
jrf_uk,1,5903,1/31/09 22:05,14868,87,http://www.jrf.org.uk
lisatozzi,1,3572,2/28/09 14:47,6488,146,http://nytimes.com/national
dandrezner,1,9482,9/20/09 14:34,7649,4,http://danieldrezner.com
baratunde,1,44315,3/8/07 2:13,108290,1614,http://baratunde.com/franscrollow
postpolitics,1,21559,4/9/08 20:06,38339,11,http://www.postpolitics.com
justinwolfers,1,4404,7/1/11 20:01,8841,98,http://www.nber.org/~jwolfers
USIP,1,3687,1/30/09 19:57,10320,1558,http://www.usip.org
ElaineByrne,1,5499,2/13/09 0:25,6540,236,http://www.elaine.ie
TonyFratto,1,26374,3/12/09 18:43,9749,3,http://www.hamiltonplacestrategies.com
jonkarl,1,2044,8/21/08 14:17,18788,7,http://abcnews.go.com/politics
rickklein,1,33250,12/16/08 21:12,33459,2,http://blogs.abcnews.com/thenote/
2chambers,1,11041,4/26/10 21:00,16802,0,http://www.washingtonpost.com/blogs/election-2012
jmartpolitico,1,22964,1/6/09 15:20,28354,15,http://www.politico.com
TheWeek,1,8587,9/24/08 19:33,23989,151,http://www.theweek.com
willwilkinson,1,5743,3/27/07 22:38,7111,14,http://willwilkinson.net/flybottle
mikenizza,1,6798,12/24/08 0:12,6303,4135,http://bit.ly/vBGur1
poverty_action,1,2781,3/12/08 21:25,6509,0,http://www.poverty-action.org
ColumbiaUP,1,3018,1/29/09 2:55,7101,0,http://www.cup.columbia.edu
IDS_UK,1,2648,3/27/09 13:17,7571,540,http://www.ids.ac.uk/
mikeallen,1,4007,3/28/08 18:52,119323,3,http://www.politico.com/playbook
cblatts,1,4275,9/14/09 3:03,10153,1,http://chrisblattman.com
michaelpfalcone,1,3932,7/12/08 2:12,9709,2,http://abcnews.go.com/politics
apisanty,1,21438,10/31/08 18:09,10119,63,http://pisanty.blogspot.com
marcambinder,1,12588,1/17/08 1:07,23458,5278,http://Question29e.com
tylercowen,1,2196,8/28/07 22:07,17493,1,
evgenymorozov,1,11625,4/10/09 22:39,22731,55,http://www.netdelusion.com
E_Wall,1,5704,5/27/08 1:41,6905,13,http://ericwall.tumblr.com/
tomphilpott,1,8425,4/8/09 3:23,12723,19,
TiagoDF,1,17797,6/3/08 14:26,13693,0,http://esculturasnotempo.wordpress.com
Britannica,1,6549,3/30/08 0:24,5812,8,http://www.britannica.com
nybooks,1,2568,12/14/07 21:50,335320,111,http://www.nybooks.com
BostonReview,1,10050,5/1/09 15:42,8526,18,http://bostonreview.net
Demos_Org,1,5978,10/31/08 15:26,5656,31,http://www.demos.org
TheFix,1,19461,4/16/08 20:34,109138,27,http://voices.washingtonpost.com/thefix/
thegarance,1,11137,7/31/07 14:27,10349,0,http://www.theatlantic.com/garance-franke-ruta/
fivethirtyeight,1,5842,8/27/08 20:56,137562,6,http://fivethirtyeight.blogs.nytimes.com
YouGov,1,3690,5/17/08 11:50,24358,2,http://www.YouGov.com
bebalacharms,1,274,2/6/10 22:10,5903,0,http://www.bebala.com
danbalz,1,304,7/24/09 3:20,12723,2,http://washingtonpost.com
andreslajous,1,21133,3/31/09 21:29,15403,11,http://andreslajous.blogs.com
jshm00,1,5361,2/25/10 17:02,27557,7,http://blogjesussilvaherzogm.typepad.com/
afpakchannel,1,17269,5/1/09 14:21,16342,0,http://afpak.foreignpolicy.com/
PeakOilNews,1,10189,2/4/09 16:31,26493,0,
postpolls,1,1412,5/8/08 17:42,8092,0,http://www.washingtonpost.com/polls/
MysteryPollster,1,3245,1/1/08 22:28,5891,16,http://www.huffingtonpost.com/news/pollster/
