Username,Checked,Status count,Start date,Favorites,Location,Website,,,,,,
jimrutenberg,1,119,2/21/11 5:02,1,BKLYN-East End L.I.,http://www.nytimes.com,,,,,,
electionstudies,1,3,9/16/11 19:37,0,"Stanford, CA & Ann Arbor, MI",http://electionstudies.org,,,,,,
leedrutman,1,124,8/10/10 19:09,0,"Washington, DC",,,,,,,
theprospect,1,8245,8/22/08 20:21,0,"Washington, D.C.",http://prospect.org/,,,,,,
AnnieLowrey,1,4628,5/2/09 21:00,1,Washington,,,,,,,
RyanLizza,1,4883,10/7/09 16:37,33,"Washington, D.C.",http://nyr.kr/jDDIRt,,,,,,
gregamarx,1,138,6/17/09 15:30,2,Jersey City,http://www.cjr.org/author/greg-marx-1/,,,,,,
cstewartiii,1,54,6/21/09 14:38,0,,,,,,,,
TimothyNoah1,1,366,12/14/11 21:28,0,"Washington, D.C.",http://www.tnr.com/blogs/timothy-noah,,,,,,
wesmediaproject,1,73,9/27/10 21:27,0,"Middletown, CT",https://mediaproject.wesleyan.edu/,,,,,,
noamscheiber,1,933,2/9/11 3:16,3,,http://www.tnr.com/blogs/the-stump,,,,,,
ppppolls,1,12837,7/29/09 15:28,2,"Raleigh, NC",http://www.publicpolicypolling.com/,,,,,,
AlecMacGillis,1,347,12/14/11 19:05,1,"Washington, DC",http://www.tnr.com/blogs/the-stump,,,,,,
jdickerson,1,9043,4/11/07 3:51,650,dc,http://bit.ly/g4J29yUsername,Checked,Status count,Start date,Favorites,Location,Website
AnEconomistGets,1,83,1/8/12 2:30,0,Loving the suburbs of NoVa,http://tylercowensethnicdiningguide.com/,,,,,,
nickconfessore,1,4983,2/28/11 18:27,1,New York,http://nyti.ms/Confessore,,,,,,
Nolan_Mc,1,75,12/22/11 20:49,2,,http://nolanmccarty.com,,,,,,
ProfHacker,1,2328,7/27/09 2:25,2,On Campus,http://ProfHacker.com,,,,,,
nytpolls,1,120,3/30/11 16:44,0,New York City ,http://nytimes.com/polls,,,,,,
WSJNumbersGuy,1,159,4/2/09 14:43,0,"New York, NY",http://blogs.wsj.com/numbersguy/,,,,,,
gallupqueue,1,1417,4/1/09 17:31,0,"Washington, DC",http://www.gallup.com,,,,,,
MattGlassman312,1,900,2/13/09 20:20,0,"Vienna, VA",http://www.mattglassman.com,,,,,,
EzraSays,1,2374,4/11/11 7:45,0,Washington DC,http://www.washingtonpost.com/blogs/ezra-klein,,,,,,
monteiro_nuno,1,57,6/21/11 16:40,0,"New Haven, CT, USA",http://www.nunomonteiro.org,,,,,,
jonathanchait,1,1202,6/24/09 21:26,4,"Washington, D.C.",http://nymag.com/author/jonathan%20chait,,,,,,
ed_kilgore,1,1020,5/9/11 19:38,2,"Monterey, California",http://thedemocraticstrategist.org,,,,,,
ProfStevenSmith,1,749,12/20/08 0:16,7,St Louis and Minneapolis,http://wc.wustl.edu,,,,,,
victorylab,1,100,2/18/11 13:13,0,,http://www.thevictorylab.com/,,,,,,
Rule22blog,1,142,5/25/11 20:20,2,,http://rule22.wordpress.com/,,,,,,
SlaughterAM,1,6990,2/15/11 11:33,327,"Princeton, New Jersey",http://www.princeton.edu/~slaughtr/,,,,,,
vavreck,1,209,6/29/11 21:30,17,"Los Angeles, CA",http://www.lynnvavreck.com,,,,,,
HiddenBrain,1,437,7/10/09 14:08,2,"Washington, DC",http://www.hiddenbrain.org,,,,,,
justinwolfers,1,4390,7/1/11 20:01,95,"Washington, DC",http://www.nber.org/~jwolfers,,,,,,
hardsci,1,488,1/7/10 19:31,2,"Eugene, OR",http://hardsci.wordpress.com,,,,,,
SimonJackman,1,288,4/15/11 22:27,4,Palo Alto,http://jackman.stanford.edu,,,,,,
betsylevyp,1,455,6/26/11 19:03,9,princeton nj,http://www.betsylevypaluck.com,,,,,,
voteview,1,82,4/23/11 6:10,0,University of Georgia,http://voteview.com/blog/,,,,,,
CCESTweet,1,43,7/17/09 17:11,0,"Cambridge, MA",http://projects.iq.harvard.edu/cces/home,,,,,,
jay_ulfelder,1,4730,1/5/11 19:57,12,"Takoma Park, MD",http://www.dartthrowingchimp.wordpress.com,,,,,,
nytgraphics,1,342,11/1/09 1:48,0,"New York, NY",http://www.nytimes.com/,,,,,,
henryfarrell,1,557,2/15/11 3:18,3,Washington DC,http://www.henryfarrell.net,,,,,,
dhnexon,1,888,7/8/09 20:20,0,"Washington, DC",http://duckofminerva.org,,,,,,
PEJPew,1,902,2/4/10 15:42,0,"Washington, DC",http://www.journalism.org,,,,,,
GeekStats,1,4160,4/14/08 21:23,12,The United States of Excess,,,,,,,
pewinternet,1,1708,10/30/08 18:40,102,"Washington, DC",http://pewinternet.org/,,,,,,
cblatts,1,4267,9/14/09 3:03,1,"New York, NY, USA",http://chrisblattman.com,,,,,,
pewresearch,1,3120,3/3/09 16:39,19,"Washington, DC",http://pewresearch.org/,,,,,,
xkcdrss,1,629,3/18/08 20:10,0,,http://tomlea.co.uk/p/about-xkcdrss,,,,,,
marcambinder,1,12559,1/17/08 1:07,5267,"Washington, D.C.",http://Question29e.com,,,,,,
DLeonhardt,1,2064,7/18/10 23:44,0,"Washington, D.C.",http://www.nytimes.com/leonhardt,,,,,,
postpolls,1,1410,5/8/08 17:42,0,"Washington, D.C.",http://www.washingtonpost.com/polls/,,,,,,
jeffzeleny,1,2225,10/25/09 18:01,1,"Washington, DC",http://www.nytimes.com/politics,,,,,,
ericaplume,1,228,5/8/07 12:30,0,"Austin, TX",http://www.plumemarketing.com,,,,,,
thadhall,1,346,7/22/10 10:25,4,Salt Lake City,,,,,,,
