Username,Checked,Followers List,Followers Count
profLind,1,0,
PRDM9,1,0,
BetsyMorais,1,0,
thomasrhiel,1,0,
AmericaforMitt,1,0,
Jshandrade,1,0,
Sportswala19,1,0,
Leviseur,1,0,
marksetzer,1,0,
redjazzguitar,1,0,
petersonerikj,1,0,
olyneocleous,1,0,
HumanTrends,1,0,
The_TimSullivan,1,0,
JoeBieman,1,0,
Reverse_123,1,0,
SlaughterAM,1,0,
ScholarOnline,1,0,
JoeSchoech,1,0,
niravbparekh,1,0,
sarahknoesen,1,0,
PESheehy,1,0,
Nat_Dure,1,0,
HugoAConcha,1,0,
BradleyRTurner,1,0,
habibidiana,1,0,
JFOFerguson,1,0,
anxo_caido,1,0,
cvanwesterlaak,1,0,
dasMo42,1,0,
stupidplover,1,0,
yelmjouie,1,0,
GurpreetOmkar1,1,0,
skakjensen,1,0,
Steven_Strauss,1,0,
joeyo4495,1,0,
kmajohansson,1,0,
bycoffe,1,0,
seansrussiablog,1,0,
Excursions_J,1,0,
RStrategic,1,0,
JordieLegro,1,0,
JoshuaIAltman,1,0,
WhyTuesday,1,0,
extraheavy2010,1,0,
jareau,1,0,
julesfournier,1,0,
laurentbouvet,1,0,
BAnderstone,1,0,
diane1859,1,0,
DrJackHolland,1,0,
whsamueliii,1,0,
chaotictheorist,1,0,
ahmandirks,1,0,
edithhonan,1,0,
nxthompson,1,0,
lycradog,1,0,
cosmicorbs,1,0,
KnuckleBugSmith,1,0,
ladyc10,1,0,
Dsmith318David,1,0,
MegPCampbell,1,0,
chriswjstone,1,0,
povx,1,0,
RichardShandlin,1,0,
CameronNorsk,1,0,
chingos,1,0,
benjojam,1,0,
antsneversleep,1,0,
PCGTW,1,0,
Matias7Ramos,1,0,
DLeonhardt,1,0,
nlarge1,1,0,
nandorvila,1,0,
eduardosuarez,1,0,
pgradelesq,1,0,
mcraiser,1,0,
schroederlaw,1,0,
iSmitty,1,0,
wilsonjs,1,0,
gingrasdenis,1,0,
HalesOysters,1,0,
sacredear,1,0,
politicsviewer,1,0,
BPHolden,1,0,
msoliver,1,0,
dickvader,1,0,
hnrykssngr,1,0,
ScooterScootero,1,0,
twoarroyos,1,0,
cbsjancrawford,1,0,
JoeTacopino,1,0,
macksnotes,1,0,
MECohen4,1,0,
RianCahill,1,0,
DJRoboSlice,1,0,
AlecMacGillis,1,0,
nancysomething,1,0,
SCrichlow,1,0,
Wonkified,1,0,
properpeg,1,0,
nealcarruth,1,0,
svanteEng,1,0,
TomRussell8,1,0,
kirancmoodley,1,0,
djmia00,1,0,
sartoukm,1,0,
nramacha,1,0,
CarterHarms,1,0,
stewartwboss,1,0,
avanindar,1,0,
Porchland,1,0,
michele_norris,1,0,
danieldidech,1,0,
pat_schernekau,1,0,
R0vil,1,0,
SchlubGross,1,0,
lquin1,1,0,
EyalPress,1,0,
karinjr,1,0,
PoliticsinSpire,1,0,
kaeferkind,1,0,
aimee_perhach,1,0,
polisciadjunct,1,0,
RuleByUs,1,0,
citvox,1,0,
Public_Citizen,1,0,
CChristineFair,1,0,
JWPaller,1,0,
SverreHelseth,1,0,
maggielomas,1,0,
TheresaRobb,1,0,
jdiascro,1,0,
tjbussey,1,0,
alletsee,1,0,
kellywzhang,1,0,
Calle72Co,1,0,
JorgeSMiguel,1,0,
sam_g_love,1,0,
njgruber,1,0,
camjstark,1,0,
BrianDMedina,1,0,
GnanaMagalUdgi1,1,0,
brndnpr,1,0,
AtkinsonCF,1,0,
1bwilks,1,0,
UCBLaborCenter,1,0,
ConnieVeillette,1,0,
veroderugy,1,0,
DonaldPretari1,1,0,
nuhuskers11,1,0,
oneandonlyclw,1,0,
ritthyou,1,0,
SebaValenz,1,0,
adamzdecker,1,0,
svoorwater,1,0,
DanMShapiro,1,0,
jenningsjt,1,0,
K_Skjefstad,1,0,
DryHeathen,1,0,
ModelPolitics,1,0,
TEDxWallStreet,1,0,
tim_sheehy,1,0,
robertherzfeld,1,0,
NY_LEAD,1,0,
lizproxy,1,0,
perrdzu,1,0,
lbwechsler,1,0,
emilysamsel,1,0,
RGeorgieMcKay,1,0,
tomhannon,1,0,
IlliniAg,1,0,
WWNsoc,1,0,
robfordmancs,1,0,
CwellJayne,1,0,
BJCINDI,1,0,
dbonis,1,0,
eigobennkyou,1,0,
NPTO,1,0,
mathcubeky,1,0,
byrneingman,1,0,
scavenger101,1,0,
SnikkiG,1,0,
FAOAssociation,1,0,
hoosiergringo,1,0,
eivindhage,1,0,
PeterMonkey1,1,0,
jeffsleasman,1,0,
moksim,1,0,
djw172,1,0,
npbat,1,0,
kellyky,1,0,
Atidaryta,1,0,
mikael_persson,1,0,
TravisJulian1,1,0,
EJPace316,1,0,
GilbertAnn10,1,0,
MasabuAida,1,0,
taxtweet,1,0,
KatZealand,1,0,
elFallon,1,0,
Niishi_M,1,0,
steventbrooke,1,0,
caitlinsainio,1,0,
jedstiglitz,1,0,
edoa,1,0,
wsulorena,1,0,
270EVs,1,0,
CarolynAbott,1,0,
vmkitchen,1,0,
asociologist,1,0,
tinapittaway,1,0,
yuvischiller,1,0,
rhervandi,1,0,
najmaakter12,1,0,
_sarahkhan,1,0,
mbdubayou,1,0,
oldsmith,1,0,
TomPepinsky,1,0,
C_Wolbrecht,1,0,
DrRebeccaGill,1,0,
Lapop_Barometro,1,0,
Neighborhoodist,1,0,
putriakma,1,0,
FilippoTronconi,1,0,
CPSucherNY,1,0,
JMLeeker,1,0,
gregoryjwolf,1,0,
ciarangillespie,1,0,
kikollan,1,0,
severinearsene,1,0,
ChrishonMcManus,1,0,
GrahameGW,1,0,
lauralorgy,1,0,
aliaconley,1,0,
ProfTeigen,1,0,
pettiblog,1,0,
NexusIndivulsus,1,0,
akammer,1,0,
rosaivonnee,1,0,
pmartin_UdeM,1,0,
alanatiemessen,1,0,
radetzky_march,1,0,
MarkKersten,1,0,
SeanMiskell,1,0,
AlexDBlackman,1,0,
YarahKud,1,0,
patrickmerle,1,0,
Tokryva,1,0,
VinceAM,1,0,
josephelin,1,0,
EmilyKLynch,1,0,
gregsasso,1,0,
SRen27,1,0,
ewball,1,0,
ObscureSuddha,1,0,
antonmalkin,1,0,
rcmedb,1,0,
sarahksshannon,1,0,
OyvindStiansen,1,0,
jjkeller44,1,0,
stephentimothy,1,0,
minichickpea,1,0,
CheriGuevara,1,0,
rioszertuche,1,0,
ethrondlaw,1,0,
viva_la_sonya,1,0,
lachicadelDyane,1,0,
cuse78,1,0,
jon_polk,1,0,
M_AlNowaiser,1,0,
JFiva,1,0,
AnMailleach,1,0,
MariLaeger,1,0,
Joepublic99,1,0,
hofeman,1,0,
ImmanentFrame,1,0,
StanfordCISAC,1,0,
hashtagthinker,1,0,
OddisNaper,1,0,
kevinrkosar,1,0,
DMalato2,1,0,
SalehLayla,1,0,
PalaDee,1,0,
tom_s_clark,1,0,
monkiandnibblet,1,0,
gvonganya,1,0,
khannobe,1,0,
erikherron,1,0,
ClaytonNall,1,0,
jfibarra,1,0,
dak1776,1,0,
chacha_republic,1,0,
ravin1sky,1,0,
Shanica_Paul,1,0,
kevinharrison00,1,0,
tweeraj,1,0,
monteiro_nuno,1,0,
SydneyMoran1,1,0,
RahimMohamedCAN,1,0,
ianiatzko,1,0,
Eric_GERVET,1,0,
Zarapolisci,1,0,
mindovermattz,1,0,
PollyVote,1,0,
awmercer,1,0,
toranaga77,1,0,
LawrenceRegina,1,0,
curlbj,1,0,
jordangrossman,1,0,
PERCtweets,1,0,
dbeffert,1,0,
rmstaley85,1,0,
IanYorston,1,0,
scipio_africa,1,0,
Arjunation,1,0,
jaimelever,1,0,
chrisjones7440,1,0,
jakewellman,1,0,
Laurieanneparis,1,0,
dukkhaboy,1,0,
DavinaRungasamy,1,0,
amuziecc,1,0,
joshuakeating,1,0,
b_fung,1,0,
PykeA,1,0,
brianhaggerty,1,0,
sacksdaniel,1,0,
SussexCAIT,1,0,
LoyalOpp,1,0,
kscadvocates,1,0,
CleverRogue,1,0,
HaoPing01,1,0,
WAV777,1,0,
purplegirl004,1,0,
RuiR,1,0,
owillis,1,0,
Dixonthewall,1,0,
saplakhan94,1,0,
RasmussenMagnus,1,0,
hudaalir,1,0,
jasonkstearns,1,0,
NickPaulMonkey,1,0,
Jai_Dargan,1,0,
olstoren89,1,0,
s_klinghardt,1,0,
lokendrachauhan,1,0,
rope_r,1,0,
ericdavis68,1,0,
EvaHansson1,1,0,
iAmMrFarrell,1,0,
saintpegleg,1,0,
cstewartiii,1,0,
ksabeelrahman,1,0,
richchristianse,1,0,
BarbaraFrechett,1,0,
POL2049,1,0,
dmnrqz,1,0,
Peterdanclement,1,0,
theredrosa,1,0,
TheSocietyPages,1,0,
wjmuck,1,0,
SucieLu,1,0,
LindaLu51,1,0,
alexparsons,1,0,
neckshawlyall,1,0,
drunself,1,0,
seththoughts,1,0,
lizzyboo8391,1,0,
jdunto,1,0,
mnfineman,1,0,
SAGECQPolitics,1,0,
anne_dong,1,0,
Bella_can_skate,1,0,
jaeger527,1,0,
JoelKraig261,1,0,
ldzaluzney,1,0,
NuclearMango,1,0,
Ahmedjmj,1,0,
CM_Reilly,1,0,
vocosequ,1,0,
petrova_ma,1,0,
jdenv,1,0,
garlicksauce,1,0,
lisa_myles,1,0,
mckenziey,1,0,
Ja_Mi_Ko,1,0,
kaz7973,1,0,
naingin_aint_ez,1,0,
jddavison,1,0,
berchmans,1,0,
Isaac_Golds,1,0,
ama125,1,0,
sdprosser,1,0,
Alvin_Chalon,1,0,
Krista_Ba,1,0,
ProfMeinke,1,0,
dralexgoodall,1,0,
IECIEEE,1,0,
antoniomazza92,1,0,
b_nell01,1,0,
rabbittnibble,1,0,
KatyaxKitt,1,0,
TheMeyerOfLA,1,0,
smajda,1,0,
markschaver,1,0,
Jakebinge,1,0,
mattspolar,1,0,
RSSReplacer,1,0,
david_john10,1,0,
Micah24601,1,0,
sackito_,1,0,
mvanheesewijk,1,0,
OsvaldoSpengler,1,0,
deliabailey,1,0,
krseeley,1,0,
taylorhbates,1,0,
ignasitorrent,1,0,
