Username,Checked,Activity Level
jimrutenberg,0,0
electionstudies,0,0
leedrutman,0,0
theprospect,0,0
AnnieLowrey,0,0
RyanLizza,0,0
gregamarx,0,0
cstewartiii,0,0
TimothyNoah1,0,0
wesmediaproject,0,0
noamscheiber,0,0
ppppolls,0,0
AlecMacGillis,0,0
jdickerson,0,0
AnEconomistGets,0,0
nickconfessore,0,0
Nolan_Mc,0,0
ProfHacker,0,0
nytpolls,0,0
WSJNumbersGuy,0,0
gallupqueue,0,0
MattGlassman312,0,0
EzraSays,0,0
monteiro_nuno,0,0
jonathanchait,0,0
ed_kilgore,0,0
ProfStevenSmith,0,0
victorylab,0,0
Rule22blog,0,0
SlaughterAM,0,0
vavreck,0,0
HiddenBrain,0,0
justinwolfers,0,0
hardsci,0,0
SimonJackman,0,0
betsylevyp,0,0
voteview,0,0
CCESTweet,0,0
jay_ulfelder,0,0
nytgraphics,0,0
henryfarrell,0,0
dhnexon,0,0
PEJPew,0,0
GeekStats,0,0
pewinternet,0,0
cblatts,0,0
pewresearch,0,0
xkcdrss,0,0
marcambinder,0,0
DLeonhardt,0,0
postpolls,0,0
jeffzeleny,0,0
ericaplume,0,0
thadhall,0,0
abwhitford,0,0
jcbeam,0,0
rmichaelalvarez,0,0
polanalysis,0,0
SteveKornacki,0,0
bpump,0,0
tofias,0,0
mattyglesias,0,0
polimath,0,0
jwpatty,0,0
gronke,0,0
abuaardvark,0,0
jbplainblog,0,0
MysteryPollster,0,0
ProfJRoberts,0,0
prisonrodeo,0,0
Prof_BearB,0,0
dandrezner,0,0
mungowitz,0,0
Student,0,0
tylercowen,0,0
PollsAndVotes,0,0
burtmonroe,0,0
kwcollins,0,0
davidchungpark,0,0
kinggary,0,0
doug_rivers,0,0
bshor,0,0
alexlundry,0,0
ezraklein,0,0
fivethirtyeight,0,0
smotus,0,0
BrendanNyhan,0,0
jonmladd,0,0
