Landing Page,Visits,Pages/Visit,Avg Time On,% New Visits,Bounce Rate,Year,Month,Day,Title
/2010/10/so_you_want_to_get_a_phd_in_po.html,"4,572",1.19,0:00:46,77.62%,86.08%,2010,10,NA,So You Want To Get A Phd In Po
/2009/12/three_myths_about_political_in.html,"3,228",1.23,0:01:02,63.41%,87.85%,2009,12,NA,Three Myths About Political In
/2008/01/headscarves.html,"2,403",1.08,0:00:09,97.67%,92.80%,2008,01,NA,Headscarves
/2010/02/good_writing_in_political_scie.html,"2,372",1.11,0:00:49,69.74%,92.06%,2010,02,NA,Good Writing In Political Scie
/2009/05/has_the_public_become_more_opp.html,"2,113",1.05,0:00:24,24.10%,95.90%,2009,05,NA,Has The Public Become More Opp
/2010/03/me_the_people_repeat_offender.html,"1,746",1.14,0:00:24,84.55%,90.67%,2010,03,NA,Me The People Repeat Offender
/2010/11/restoring_sanity_one_journal_a.html,"1,726",1.24,0:00:18,89.38%,88.20%,2010,11,NA,Restoring Sanity One Journal A
/2011/02/why_do_protests_bring_down_reg.html,"1,675",1.2,0:00:52,78.42%,87.84%,2011,02,NA,Why Do Protests Bring Down Reg
/2009/06/textmessaging_as_state_repress.html,"1,537",1.05,0:00:03,94.37%,96.36%,2009,06,NA,Textmessaging As State Repress
/2011/03/monkey_cage_to_begin_charging_.html,"1,517",1.35,0:00:46,89.26%,79.87%,2011,03,NA,Monkey Cage To Begin Charging
/2009/09/a_brief_reminder_that_not_ever.html,"1,461",1.09,0:00:12,86.06%,94.43%,2009,09,NA,A Brief Reminder That Not Ever
/2011/02/the_relationship_between_union.html,"1,456",1.22,0:00:56,84.27%,88.46%,2011,02,NA,The Relationship Between Union
/2010/04/why_its_so_hard_to_cut_the_fed.html,"1,323",1.18,0:00:33,91.92%,86.54%,2010,04,NA,Why Its So Hard To Cut The Fed
/2007/11/why_this_blog.html,"1,298",1.33,0:00:43,21.96%,85.49%,2007,11,NA,Why This Blog
/2009/04/a_tantalizing_graph_featuring.html,"1,273",1.1,0:00:14,82.80%,92.40%,2009,04,NA,A Tantalizing Graph Featuring
/2011/02/the_invisible_american_welfare.html,"1,191",1.27,0:01:04,88.89%,84.19%,2011,02,NA,The Invisible American Welfare
/2010/09/the_nrc_rankings_of_political.html,"1,104",1.29,0:01:51,79.72%,82.49%,2010,09,NA,The Nrc Rankings Of Politica
/2009/08/scoring_truthfulness_in_the_he.html,"1,094",1.09,0:00:14,82.33%,93.02%,2009,08,NA,Scoring Truthfulness In The He
/2009/09/post_238.html,"1,084",1.06,0:00:07,97.65%,94.84%,2009,09,NA,Post 238
/2009/04/health_care_reform_and_the_geo.html,962,1.2,0:00:31,93.65%,85.19%,2009,04,NA,Health Care Reform And The Geo
/2009/07/is_palins_appeal_based_on_clas.html,911,1.06,0:00:24,81.56%,96.09%,2009,07,NA,Is Palins Appeal Based On Clas
/2010/05/who_are_the_real_mavericks.html,809,1.11,0:01:01,19.50%,93.71%,2010,05,NA,Who Are The Real Mavericks
/2010/01/everything_you_wanted_to_know.html,753,1.25,0:00:58,81.08%,84.46%,2010,01,NA,Everything You Wanted To Know
/2011/03/weekend_frivolity_found_on_bla.html,753,1.15,0:00:30,93.92%,87.16%,2011,03,NA,Weekend Frivolity Found On Bla
/2009/06/post_187.html,728,1.17,0:00:25,79.72%,88.11%,2009,06,NA,Post 187
/2009/01/hotness.html,723,1.27,0:02:44,94.37%,85.92%,2009,01,NA,Hotness
/blog/2011/09/07/do-voters-discriminate-against-obese-candidates/,707,1.29,0:00:32,93.53%,83.45%,2011,09,07,Do Voters Discriminate Against Obese Candidates
/blog/2011/08/01/public-opinion-and-the-debt-ceiling-fight/,692,1.07,0:00:10,78.68%,94.12%,2011,08,01,Public Opinion And The Debt Ceiling Fight
/blog/2009/01/21/hotness/,687,1.1,0:00:36,92.59%,92.59%,2009,01,21,Hotness
/2008/02/is_there_a_liberal_bias_among.html,682,1.04,0:00:11,11.19%,97.76%,2008,02,NA,Is There A Liberal Bias Among
/2011/01/will_2011_be_1989.html,667,1.29,0:00:58,79.39%,86.26%,2011,01,NA,Will 2011 Be 1989
/2010/12/why_dont_low-income_whites_lov.html,661,1.32,0:00:53,76.92%,81.54%,2010,12,NA,Why_dont_low Income_whites_lov
/blog/2011/10/07/did-the-senate-just-go-nuclear/,656,1.05,0:00:26,56.59%,95.35%,2011,10,07,Did The Senate Just Go Nuclear
/blog/2011/09/09/what-can-presidential-speeches-do-a-dialogue/,641,1.13,0:00:33,79.37%,91.27%,2011,09,09,What Can Presidential Speeches Do A Dialogue
/2010/04/where_is_the_npr_of_cable_news.html,631,1.03,0:00:11,73.39%,96.77%,2010,04,NA,Where Is The Npr Of Cable News
/2011/02/why_do_protests_ever_bring_dow.html,631,1.12,0:00:40,86.29%,91.94%,2011,02,NA,Why Do Protests Ever Bring Dow
/blog/2007/11/20/why_this_blog/,626,2.06,0:03:12,14.63%,89.43%,2007,11,20,Why This Blog
/2008/03/who_is_the_most_powerful_membe.html,616,1.27,0:00:46,91.74%,84.30%,2008,03,NA,Who Is The Most Powerful Membe
/2010/02/red_and_blue_portfolios.html,611,1.12,0:00:16,80.83%,94.17%,2010,02,NA,Red And Blue Portfolios
/2010/12/age_and_happiness_the_pattern_.html,605,1.56,0:08:28,21.01%,69.75%,2010,12,NA,Age And Happiness The Pattern
/blog/2012/01/08/americans-and-innumeracy/,605,1.14,0:00:25,90.76%,91.60%,2012,01,08,Americans And Innumeracy
/2010/10/who_likes_political_science_de.html,580,1.03,0:00:07,86.84%,94.74%,2010,10,NA,Who Likes Political Science De
/2008/09/sarah_palin_favorability_ratin.html,575,1.18,0:00:33,94.69%,89.38%,2008,09,NA,Sarah Palin Favorability Ratin
/2010/10/5_myths_about_federal_taxes.html,565,1.13,0:00:13,76.58%,90.09%,2010,10,NA,5 Myths About Federal Taxes
/2010/02/what_will_make_people_love_gov.html,560,1.22,0:00:53,74.55%,85.45%,2010,02,NA,What Will Make People Love Gov
/2011/04/toddler_democracy.html,560,1.07,0:00:32,79.09%,93.64%,2011,04,NA,Toddler Democracy
/2010/09/do_aid_shocks_cause_violent_co.html,549,1.07,0:00:50,31.48%,93.52%,2010,09,NA,Do Aid Shocks Cause Violent Co
/2011/01/political_vitriol_and_politica.html,549,1.15,0:00:37,76.85%,89.81%,2011,01,NA,Political Vitriol And Politica
/2011/03/what_in_the_hell_is_going_on_i.html,539,1.25,0:01:19,82.08%,87.74%,2011,03,NA,What In The Hell Is Going On I
/2008/12/bcs_declares_germany_winner_of.html,519,1.13,0:00:24,90.20%,90.20%,2008,12,NA,Bcs Declares Germany Winner Of
/2008/02/the_best_college_team_nickname.html,514,1.11,0:00:14,89.11%,94.06%,2008,02,NA,The Best College Team Nickname
/2011/03/you_want_more_epistemic_closur.html,509,1.4,0:01:02,78.00%,86.00%,2011,03,NA,You Want More Epistemic Closur
/blog/2011/12/13/do-gop-voters-care-about-electability/,509,1.08,0:00:08,93.00%,95.00%,2011,12,13,Do Gop Voters Care About Electability
/2010/05/another_look_at_the_family_res.html,504,1.36,0:24:03,61.62%,74.75%,2010,05,NA,Another Look At The Family Res
/2010/11/did_controversial_roll_call_vo.html,493,1.2,0:00:58,87.63%,90.72%,2010,11,NA,Did Controversial Roll Call Vo
/blog/2011/06/01/the-cushy-life-of-a-university-of-illinois-sociology-professor/,493,1.15,0:00:33,82.47%,85.57%,2011,06,01,The Cushy Life Of A University Of Illinois Sociology Professor
/blog/2011/06/08/top-ten-plagiarism-excuses/,493,1.59,0:01:10,84.54%,73.20%,2011,06,08,Top Ten Plagiarism Excuses
/blog/2011/09/12/5th-annual-nyu-cess-experiments-in-political-science-call-for-papers/,488,1.72,0:01:50,80.21%,71.87%,2011,09,12,5th Annual Nyu Cess Experiments In Political Science Call For Papers
/2010/01/argh_argh_argh_argh_argh.html,483,1.79,0:00:54,85.26%,48.42%,2010,01,NA,Argh Argh Argh Argh Arg
/2009/12/lee.html,478,1.51,0:00:47,87.23%,70.21%,2009,12,NA,Lee
/blog/2012/01/30/politics-is-a-matter-of-life-and-death-times-23000/,473,1.22,0:00:13,86.02%,83.87%,2012,01,30,Politics Is A Matter Of Life And Death Times 23000
/2010/12/the_inequality_road_to_serfdom.html,468,1.35,0:01:25,70.65%,81.52%,2010,12,NA,The Inequality Road To Serfdo
/blog/2011/07/14/not-a-choice-genetic/,463,1.42,0:01:45,76.92%,79.12%,2011,07,14,Not A Choice Genetic
/2010/07/a_false_consensus_about_public.html,453,1.16,0:00:38,74.16%,85.39%,2010,07,NA,A False Consensus About Public
/2011/05/june-2011-portuguese-parliamentary-elections-pre-election-report/,437,1.23,0:00:55,86.05%,86.05%,2011,05,june-2011-portuguese-parliamentary-elections-pre-election-report,
/blog/2011/12/24/another-holiday-tradition/,422,1.14,0:00:28,91.57%,92.77%,2011,12,24,Another Holiday Tradition
/2010/06/did_alvin_greene_win_because_o.html,417,1.26,0:00:57,82.93%,80.49%,2010,06,NA,Did Alvin Greene Win Because O
/blog/2011/09/04/fourteen-magic-words-that-can-increase-voter-turnout-by-over-10-percentage-points/,417,1.34,0:00:32,74.39%,93.90%,2011,09,04,Fourteen Magic Words That Can Increase Voter Turnout By Over 10 Percentage Points
/2011/01/yes_it_can_be_rational_to_vote.html,412,1.14,0:00:26,72.84%,90.12%,2011,01,NA,Yes It Can Be Rational To Vote
/2011/03/washington_post_suspends_pulit.html,412,1.54,0:01:11,75.31%,70.37%,2011,03,NA,Washington Post Suspends Puli
/blog/2011/11/21/forecasting-the-supreme-court-vote-on-obamacare/,407,1.03,0:00:09,86.25%,97.50%,2011,11,21,Forecasting The Supreme Court Vote On Obamacare
/2009/04/warmer_weather_makes_people_mo.html,402,1.06,0:00:26,18.99%,94.94%,2009,04,NA,Warmer Weather Makes People Mo
/2010/12/i_smoke_crack_rocks.html,402,1.34,0:01:43,86.08%,78.48%,2010,12,NA,I Smoke Crack Rocks
/2008/04/why_do_people_fight_in_civil_w.html,397,1.09,0:00:02,92.31%,94.87%,2008,04,NA,Why Do People Fight In Civil W
/2010/06/how_do_counterinsurgencies_end_1.html,397,1.27,0:00:36,75.64%,87.18%,2010,06,NA,How Do Counterinsurgencies End 1
/blog/2012/01/29/how-do-states-act-after-they-get-nuclear-weapons/,397,1.31,0:02:01,85.90%,82.05%,2012,01,29,How Do States Act After They Get Nuclear Weapons
/2010/11/back_to_basics_districts_and_d.html,381,1.48,0:01:57,64.00%,82.67%,2010,11,NA,Back To Basics Districts And D
/blog/2011/06/15/one-in-a-quadrillion/,381,1.28,0:00:50,96.00%,90.67%,2011,06,15,One In A Quadrillion
/2008/08/punditry_vs_political_science.html,371,1.12,0:00:21,67.12%,89.04%,2008,08,NA,Punditry Vs Political Science
/2010/02/corrected_graph_for_conflicted.html,371,1.4,0:01:19,65.75%,72.60%,2010,02,NA,Corrected Graph For Conflicted
/2010/07/did_lebron_get_played_game_the_1.html,371,1.12,0:00:57,84.93%,87.67%,2010,07,NA,Did Lebron Get Played Game The 1
/2010/12/wikileaks_and_the_difference_b.html,371,1.21,0:00:49,83.56%,90.41%,2010,12,NA,Wikileaks And The Difference B
/2009/06/redistribution_and_national_id.html,366,1.11,0:00:32,87.50%,90.28%,2009,06,NA,Redistribution And National Id
/2009/05/do_countries_that_torture_expe.html,361,1.04,0:00:10,88.73%,95.77%,2009,05,NA,Do Countries That Torture Expe
/2009/12/what_we_have_learned_from_the.html,356,1.13,0:00:37,84.29%,90.00%,2009,12,NA,What We Have Learned From The
/2010/05/matt_miller_is_my_new_favorite.html,356,1.16,0:00:17,80.00%,94.29%,2010,05,NA,Matt Miller Is My New Favorite
/2010/06/god_strikes_down_jesus.html,356,1.27,0:02:13,94.29%,85.71%,2010,06,NA,God Strikes Down Jesus
/2011/02/in_case_you_were_wondering_her.html,356,1.19,0:00:27,82.86%,87.14%,2011,02,NA,In Case You Were Wondering Her
/2009/12/what_do_starbucks_and_larry_su.html,351,1.1,0:00:20,89.86%,94.20%,2009,12,NA,What Do Starbucks And Larry Su
/2010/01/is_marc_ambinder_a_hater.html,351,1.32,0:01:07,76.81%,81.16%,2010,01,NA,Is Marc Ambinder A Hater
/2011/04/hows_obama_doing_part_iii_true.html,341,1.04,0:00:04,67.16%,95.52%,2011,04,NA,Hows Obama Doing Part Iii True
/2011/04/would_paul_ryans_economic_plan.html,341,1.24,0:01:26,67.16%,88.06%,2011,04,NA,Would Paul Ryans Economic Plan
