Landing Page,Visits,Pages/Visit,Avg. Time on Site,% New Visits,Bounce Rate
/,"480,303",1.48,0:01:44,24.53%,74.97%
/2010/10/so_you_want_to_get_a_phd_in_po.html,"4,572",1.19,0:00:46,77.62%,86.08%
/2009/12/three_myths_about_political_in.html,"3,228",1.23,0:01:02,63.41%,87.85%
/2008/01/headscarves.html,"2,403",1.08,0:00:09,97.67%,92.80%
/2010/02/good_writing_in_political_scie.html,"2,372",1.11,0:00:49,69.74%,92.06%
/2009/05/has_the_public_become_more_opp.html,"2,113",1.05,0:00:24,24.10%,95.90%
/2010/03/me_the_people_repeat_offender.html,"1,746",1.14,0:00:24,84.55%,90.67%
/2010/11/restoring_sanity_one_journal_a.html,"1,726",1.24,0:00:18,89.38%,88.20%
/2011/02/why_do_protests_bring_down_reg.html,"1,675",1.2,0:00:52,78.42%,87.84%
/2009/06/textmessaging_as_state_repress.html,"1,537",1.05,0:00:03,94.37%,96.36%
/2011/03/monkey_cage_to_begin_charging_.html,"1,517",1.35,0:00:46,89.26%,79.87%
/2009/09/a_brief_reminder_that_not_ever.html,"1,461",1.09,0:00:12,86.06%,94.43%
/2011/02/the_relationship_between_union.html,"1,456",1.22,0:00:56,84.27%,88.46%
/2010/04/why_its_so_hard_to_cut_the_fed.html,"1,323",1.18,0:00:33,91.92%,86.54%
/2007/11/why_this_blog.html,"1,298",1.33,0:00:43,21.96%,85.49%
/2009/04/a_tantalizing_graph_featuring.html,"1,273",1.1,0:00:14,82.80%,92.40%
/2011/02/the_invisible_american_welfare.html,"1,191",1.27,0:01:04,88.89%,84.19%
/2010/09/the_nrc_rankings_of_political.html,"1,104",1.29,0:01:51,79.72%,82.49%
/2009/08/scoring_truthfulness_in_the_he.html,"1,094",1.09,0:00:14,82.33%,93.02%
/2009/09/post_238.html,"1,084",1.06,0:00:07,97.65%,94.84%
/2009/04/health_care_reform_and_the_geo.html,962,1.2,0:00:31,93.65%,85.19%
/2009/07/is_palins_appeal_based_on_clas.html,911,1.06,0:00:24,81.56%,96.09%
/2010/05/who_are_the_real_mavericks.html,809,1.11,0:01:01,19.50%,93.71%
/2010/01/everything_you_wanted_to_know.html,753,1.25,0:00:58,81.08%,84.46%
/2011/03/weekend_frivolity_found_on_bla.html,753,1.15,0:00:30,93.92%,87.16%
/2009/06/post_187.html,728,1.17,0:00:25,79.72%,88.11%
/2009/01/hotness.html,723,1.27,0:02:44,94.37%,85.92%
/blog/2011/09/07/do-voters-discriminate-against-obese-candidates/,707,1.29,0:00:32,93.53%,83.45%
/blog/2011/08/01/public-opinion-and-the-debt-ceiling-fight/,692,1.07,0:00:10,78.68%,94.12%
/blog/2009/01/21/hotness/,687,1.1,0:00:36,92.59%,92.59%
/2008/02/is_there_a_liberal_bias_among.html,682,1.04,0:00:11,11.19%,97.76%
/2011/01/will_2011_be_1989.html,667,1.29,0:00:58,79.39%,86.26%
/2010/12/why_dont_low-income_whites_lov.html,661,1.32,0:00:53,76.92%,81.54%
/blog/2011/10/07/did-the-senate-just-go-nuclear/,656,1.05,0:00:26,56.59%,95.35%
/blog/2011/09/09/what-can-presidential-speeches-do-a-dialogue/,641,1.13,0:00:33,79.37%,91.27%
/2010/04/where_is_the_npr_of_cable_news.html,631,1.03,0:00:11,73.39%,96.77%
/2011/02/why_do_protests_ever_bring_dow.html,631,1.12,0:00:40,86.29%,91.94%
/blog/2007/11/20/why_this_blog/,626,2.06,0:03:12,14.63%,89.43%
/2008/03/who_is_the_most_powerful_membe.html,616,1.27,0:00:46,91.74%,84.30%
/2010/02/red_and_blue_portfolios.html,611,1.12,0:00:16,80.83%,94.17%
/2010/12/age_and_happiness_the_pattern_.html,605,1.56,0:08:28,21.01%,69.75%
/blog/2012/01/08/americans-and-innumeracy/,605,1.14,0:00:25,90.76%,91.60%
/2010/10/who_likes_political_science_de.html,580,1.03,0:00:07,86.84%,94.74%
/2008/09/sarah_palin_favorability_ratin.html,575,1.18,0:00:33,94.69%,89.38%
/2010/10/5_myths_about_federal_taxes.html,565,1.13,0:00:13,76.58%,90.09%
/2010/02/what_will_make_people_love_gov.html,560,1.22,0:00:53,74.55%,85.45%
/2011/04/toddler_democracy.html,560,1.07,0:00:32,79.09%,93.64%
/2010/09/do_aid_shocks_cause_violent_co.html,549,1.07,0:00:50,31.48%,93.52%
/2011/01/political_vitriol_and_politica.html,549,1.15,0:00:37,76.85%,89.81%
/2011/03/what_in_the_hell_is_going_on_i.html,539,1.25,0:01:19,82.08%,87.74%
/2008/12/bcs_declares_germany_winner_of.html,519,1.13,0:00:24,90.20%,90.20%
/2008/02/the_best_college_team_nickname.html,514,1.11,0:00:14,89.11%,94.06%
/2011/03/you_want_more_epistemic_closur.html,509,1.4,0:01:02,78.00%,86.00%
/blog/2011/12/13/do-gop-voters-care-about-electability/,509,1.08,0:00:08,93.00%,95.00%
/2010/05/another_look_at_the_family_res.html,504,1.36,0:24:03,61.62%,74.75%
/2010/11/did_controversial_roll_call_vo.html,493,1.2,0:00:58,87.63%,90.72%
/blog/2011/06/01/the-cushy-life-of-a-university-of-illinois-sociology-professor/,493,1.15,0:00:33,82.47%,85.57%
/blog/2011/06/08/top-ten-plagiarism-excuses/,493,1.59,0:01:10,84.54%,73.20%
/blog/2011/09/12/5th-annual-nyu-cess-experiments-in-political-science-call-for-papers/,488,1.72,0:01:50,80.21%,71.87%
/2010/01/argh_argh_argh_argh_argh.html,483,1.79,0:00:54,85.26%,48.42%
/2009/12/lee.html,478,1.51,0:00:47,87.23%,70.21%
/blog/2012/01/30/politics-is-a-matter-of-life-and-death-times-23000/,473,1.22,0:00:13,86.02%,83.87%
/2010/12/the_inequality_road_to_serfdom.html,468,1.35,0:01:25,70.65%,81.52%
/blog/2011/07/14/not-a-choice-genetic/,463,1.42,0:01:45,76.92%,79.12%
/2010/07/a_false_consensus_about_public.html,453,1.16,0:00:38,74.16%,85.39%
/2011/05/june-2011-portuguese-parliamentary-elections-pre-election-report/,437,1.23,0:00:55,86.05%,86.05%
/blog/2011/12/24/another-holiday-tradition/,422,1.14,0:00:28,91.57%,92.77%
/2010/06/did_alvin_greene_win_because_o.html,417,1.26,0:00:57,82.93%,80.49%
/blog/2011/09/04/fourteen-magic-words-that-can-increase-voter-turnout-by-over-10-percentage-points/,417,1.34,0:00:32,74.39%,93.90%
/2011/01/yes_it_can_be_rational_to_vote.html,412,1.14,0:00:26,72.84%,90.12%
/2011/03/washington_post_suspends_pulit.html,412,1.54,0:01:11,75.31%,70.37%
/blog/2011/11/21/forecasting-the-supreme-court-vote-on-obamacare/,407,1.03,0:00:09,86.25%,97.50%
/2009/04/warmer_weather_makes_people_mo.html,402,1.06,0:00:26,18.99%,94.94%
/2010/12/i_smoke_crack_rocks.html,402,1.34,0:01:43,86.08%,78.48%
/2008/04/why_do_people_fight_in_civil_w.html,397,1.09,0:00:02,92.31%,94.87%
/2010/06/how_do_counterinsurgencies_end_1.html,397,1.27,0:00:36,75.64%,87.18%
/blog/2012/01/29/how-do-states-act-after-they-get-nuclear-weapons/,397,1.31,0:02:01,85.90%,82.05%
/2010/11/back_to_basics_districts_and_d.html,381,1.48,0:01:57,64.00%,82.67%
/blog/2011/06/15/one-in-a-quadrillion/,381,1.28,0:00:50,96.00%,90.67%
/2008/08/punditry_vs_political_science.html,371,1.12,0:00:21,67.12%,89.04%
/2010/02/corrected_graph_for_conflicted.html,371,1.4,0:01:19,65.75%,72.60%
/2010/07/did_lebron_get_played_game_the_1.html,371,1.12,0:00:57,84.93%,87.67%
/2010/12/wikileaks_and_the_difference_b.html,371,1.21,0:00:49,83.56%,90.41%
/2009/06/redistribution_and_national_id.html,366,1.11,0:00:32,87.50%,90.28%
/2009/05/do_countries_that_torture_expe.html,361,1.04,0:00:10,88.73%,95.77%
/2009/12/what_we_have_learned_from_the.html,356,1.13,0:00:37,84.29%,90.00%
/2010/05/matt_miller_is_my_new_favorite.html,356,1.16,0:00:17,80.00%,94.29%
/2010/06/god_strikes_down_jesus.html,356,1.27,0:02:13,94.29%,85.71%
/2011/02/in_case_you_were_wondering_her.html,356,1.19,0:00:27,82.86%,87.14%
/2009/12/what_do_starbucks_and_larry_su.html,351,1.1,0:00:20,89.86%,94.20%
/2010/01/is_marc_ambinder_a_hater.html,351,1.32,0:01:07,76.81%,81.16%
/2011/04/hows_obama_doing_part_iii_true.html,341,1.04,0:00:04,67.16%,95.52%
/2011/04/would_paul_ryans_economic_plan.html,341,1.24,0:01:26,67.16%,88.06%
/blog/2011/07/21/how-the-killing-of-bin-laden-affected-american-attitudes-toward-muslims/,341,1.04,0:00:13,95.52%,95.52%
/2008/07/post_99.html,336,1.09,0:00:11,80.30%,90.91%
/2010/12/state_power_and_the_response_t.html,330,1.17,0:00:10,86.15%,89.23%
/blog/2011/05/30/similarities-and-differences-between-eastern-europe-in-1989-and-the-middle-east-in-2011/,330,1.23,0:01:16,87.69%,84.62%
/2010/06/explaining_the_origins_of_the.html,325,1.06,0:00:09,65.62%,95.31%
/2010/06/will_the_oil_spill_kick_obamas.html,325,1.03,0:00:14,76.56%,96.87%
/2011/04/polarization_and_raising_the_d.html,325,1.22,0:00:33,85.94%,87.50%
/blog/2011/07/27/americans-have-become-more-opposed-to-adultery-why/,325,1.2,0:00:37,95.31%,82.81%
/blog/2011/07/27/is-twitter-politically-polarized/,325,1.25,0:00:32,87.50%,84.38%
/2009/05/social_science_torture_and_eth.html,320,1.24,0:01:35,74.60%,87.30%
/2010/05/what_do_we_know_about_minority.html,320,1.25,0:00:36,46.03%,93.65%
/2011/02/more_on_unions_and_state_budge.html,320,1.33,0:01:16,80.95%,82.54%
/blog/2011/08/12/aaa-ratings-and-regime-types/,320,1.27,0:01:37,66.67%,85.71%
/2008/03/the_imagined_community_in_euro.html,315,1.1,0:00:12,88.71%,90.32%
/2010/10/how_the_ballot_may_save_the_de.html,315,1.26,0:01:21,62.90%,93.55%
/2010/12/press_freedom_and_not_attendin.html,315,1.5,0:01:01,77.42%,64.52%
/2010/12/richard_nixons_anti-semitism_a.html,315,1.23,0:00:54,53.23%,87.10%
/blog/2010/02/16/good_writing_in_political_scie/,315,1.35,0:00:51,80.65%,79.03%
/2010/06/is_538com_good_for_political_s.html,310,1.18,0:00:33,52.46%,86.89%
/2008/05/on_the_relationship_between_jo_1.html,305,1.33,0:01:26,63.33%,81.67%
/2010/03/new_public_opinion_numbers_on.html,305,1.12,0:00:51,66.67%,90.00%
/2011/01/the_voters_hate_everyone.html,305,1.18,0:01:08,71.67%,88.33%
/2011/03/suzanne_mettler_in_the_media.html,305,1.38,0:00:35,65.00%,78.33%
/2009/07/why_should_we_have_polls.html,295,1.07,0:00:25,74.14%,94.83%
/2010/05/why_dont_they_just_let_the_gre.html,295,1.21,0:00:51,77.59%,84.48%
/2010/08/the_shrinking_political_scienc.html,295,1.09,0:00:15,72.41%,91.38%
/blog/2012/01/04/is-the-president-playing-fair-during-recess-the-cordray-appointment/?wpisrc=nl_wonk,295,1.07,0:00:29,87.93%,96.55%
/2011/03/clean_elections_vs_political_s.html,290,1.21,0:00:30,78.95%,87.72%
/blog/2011/08/29/the-origins-of-conspiracy-theories/,290,1.23,0:00:31,77.19%,89.47%
/2008/06/the_nixon_we_never_knew.html,285,1.12,0:00:07,98.21%,92.86%
/2008/07/the_truth_is_out_there.html,285,1.39,0:01:39,78.57%,75.00%
/2010/02/which_party_uses_reconciliatio.html,285,1.09,0:00:25,85.71%,92.86%
/2010/04/princeton_readings_in_american.html,285,1.12,0:00:16,76.79%,87.50%
/2010/12/the_truth_wears_off_is_there_s.html,285,1.05,0:00:02,83.93%,96.43%
/blog/2012/01/29/how-do-states-act-after-they-get-nuclear-weapons,285,1.21,0:00:56,92.86%,85.71%
/2010/08/david_broder_and_the_mystical.html,280,1.16,0:00:21,85.45%,94.55%
/2010/03/did_gays_in_the_dutch_military.html,274,1.06,0:00:35,79.63%,94.44%
/2010/04/fixin_the_heritage_foundations.html,274,1.06,0:00:03,74.07%,94.44%
/2010/12/is_political_science_too_hard_.html,274,1.33,0:00:31,33.33%,74.07%
/blog/2010/10/29/why_divided_government_is_bad_/,274,1.11,0:00:23,83.33%,90.74%
/2010/01/the_effect_of_the_ma_special_e_1.html,269,1.28,0:00:39,81.13%,79.25%
/blog/2009/12/17/three_myths_about_political_in/,269,1.21,0:00:36,92.45%,88.68%
/blog/2011/08/29/should-we-be-disturbed-that-a-leading-presidential-candidate-endorses-a-pro-slavery-position/,269,1.96,0:01:33,79.25%,58.49%
/2008/02/drezner_on_political_science_m.html,264,1.19,0:00:59,92.31%,84.62%
/2010/01/the_ma_special_election_cartoo.html,264,1.17,0:00:54,92.31%,84.62%
/2010/08/how_conservative_is_corporate.html,264,1.15,0:00:59,48.08%,90.38%
/2010/11/seat_losses_everywhere.html,264,1.15,0:00:16,80.77%,86.54%
/2011/03/why_security_studies_should_ta.html,264,1.44,0:01:26,75.00%,76.92%
/blog/2012/01/23/a-cranky-reader-and-i-discuss-the-2012-gop-primary/,264,1.4,0:00:49,84.62%,88.46%
/2008/12/tips_for_the_pub.html,259,1.1,0:00:24,96.08%,90.20%
/2010/01/perry_v_schwarzenegger_guest_b_1.html,259,1.04,0:00:03,78.43%,96.08%
/2011/02/obama_naively_supporting_islam.html,259,1.25,0:00:02,56.86%,82.35%
/blog/2011/11/02/the-presidents-fate-may-hinge-on-2009-2/,259,1.2,0:00:32,82.35%,94.12%
/blog/2011/11/17/partisanship-in-everything-views-of-godfathers-pizza/,259,1.12,0:00:15,90.20%,90.20%
/2009/10/civil_wars_and_violence_in_soc.html,254,1.18,0:00:45,88.00%,88.00%
/2010/02/the_order_of_things.html,254,1.02,0:00:00,74.00%,98.00%
/2010/03/to_selfexecute_or_not_to_selfe_1.html,254,1.14,0:01:58,76.00%,90.00%
/2010/10/does_inequality_make_people_mo_1.html,254,1.08,0:00:33,76.00%,92.00%
/blog/2012/02/17/understanding-the-zombie-confusion-about-class-and-voting/,254,1.32,0:00:49,78.00%,86.00%
/blog/2011/09/11/too-much-education/,249,1.37,0:01:20,63.27%,83.67%
/2009/07/how_iran_works.html,244,1.46,0:00:56,77.08%,66.67%
/2009/09/2009_norwegian_parliamentary_e.html,244,1.04,0:00:58,6.25%,97.92%
/2010/08/a_colorful_race.html,244,1.23,0:00:48,91.67%,87.50%
/2011/04/how_wasteful_is_spending_on_ho.html,244,1.12,0:00:37,93.75%,89.58%
/blog/2012/01/04/is-the-president-playing-fair-during-recess-the-cordray-appointment/,244,1.38,0:01:01,72.92%,77.08%
/2008/10/post_135.html,239,1.49,0:00:33,70.21%,80.85%
/2010/05/the_perils_of_guessing_the_ide.html,239,1.23,0:00:39,85.11%,82.98%
/2010/07/collaborating_and_defecting.html,239,1.02,0:00:15,68.09%,97.87%
/2011/03/war_powers_irresolution.html,239,1.26,0:00:44,68.09%,87.23%
/blog/2011/09/22/speaker-boehners-legislative-dilemma/,239,1.11,0:00:12,85.11%,91.49%
/2008/09/post_122.html,234,1.28,0:00:23,82.61%,86.96%
/2010/09/voters_hate_republicans_but_ar.html,234,1.17,0:00:06,76.09%,93.48%
/2011/03/epistemic_closure_-_climate_ch.html,234,1.43,0:00:54,84.78%,80.43%
/2008/03/the_joy_of_bike_racing_a_photo.html,229,1.27,0:00:11,93.33%,77.78%
/2008/05/humor_for_graduate_students.html,229,1.38,0:00:44,80.00%,86.67%
/2009/03/a_bleg_what_are_the_political.html,229,1.4,0:01:10,64.44%,84.44%
/2009/07/post_220.html,229,1.07,0:00:23,88.89%,93.33%
/2010/02/the_democrats_are_gonna_get_ha.html,229,1.13,0:00:32,75.56%,93.33%
/2010/11/new_evidence_for_gender_bias_i.html,229,1.31,0:00:47,88.89%,88.89%
/blog/2011/07/26/congressional-supercommittees-how-super-are-they/,229,1.07,0:00:16,84.44%,95.56%
/2010/06/the_public_is_a_thermostat.html,224,1.14,0:01:03,34.09%,90.91%
/2010/08/political_scientists_on_youtub.html,224,1.2,0:01:22,68.18%,90.91%
/2011/01/so_the_greatest_political_chan.html,224,1.07,0:00:08,79.55%,93.18%
/2011/02/when_scatterplots_invade_cable.html,224,1.55,0:02:25,72.73%,65.91%
/blog/2011/10/18/polarization-and-inequality/,224,1.27,0:00:38,34.09%,86.36%
/2011/02/forecasting_revolutions_to_sta.html,218,2.05,0:01:58,67.44%,39.53%
/blog/2011/08/09/do-austerity-measures-increase-the-risk-of-social-chaos/,218,1.14,0:00:36,88.37%,88.37%
