"","postnum","tweets","likes","bin_tweet","bin_like","diff_tweets_likes","prop_tweet","prop_like","Comments","title","date","Graphics","Length","videos","gradelevel","johnsides","henryfarrell","joshuatucker","larrybartels","andrewrudalevige","andrewgelman","jamesfearon","erikvoeten","sarahbinder","ericachenoweth","danhopkins","nolanmccarty","gregorykoger","jonathanrobinson","vanessawilliamson","jasonlyall","hansnoel","suzannemettler","paul","laynamosley","catiebailard","presidency","potpourri","environmentalpolitics","war","comparativepolitics","publicopinion","blogs","politicalscienceandjournalism","campaignsandelections","politicaleconomy","legislativepolitics","graphiti","politicalparties","law","experimentalanalysis","othersocialscience","policy","media","foreignpolicy","internationalrelations","internationalsecurity","methodology","electoralfraud","institutions","frivolity","tedmccaggcartoons","academia","electionreports","immigration","judicial","itandpolitics","data","violence","politicseverywhere","bureaucracy","obituary","sports","politicalscience","protest","housekeeping","senateprocedure","newsletters","healthcare","politicalsciencenews","education","science","musicandotherpopularculture","transitions","politicaltheory","thisweekinpoliticalscience","generalpolitics","interestgroups","methepeople","valid","tweetLike","logtweetlike","has_graphics","smoothtweet","smoothlike","smoothtweetlike","logsmoothtweetlike","loglength","tweetrating","tweetsandlikes","year","day","month","newdate","weekday","weekdaynum","weekday01","sincelast"
"1",1,13,2,1,0,11,0.866666674613953,0.133333340287209,1,"How Liberal Is Barack Obama?","2/3/2012",0,40,0,7.30999994277954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,0.812913358211517,0,14,3,4.66666650772095,0.669006764888763,3.68887948989868,0.669006764888763,1,"2012","3","2",2012-02-03,"Friday","5",1,0
"2",2,1,0,1,0,1,1,0,4,"Potpourri","2/3/2012",0,66,0,6.50229454040527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,2,1,2,0.30103000998497,4.18965482711792,0.30103000998497,0,"2012","3","2",2012-02-03,"Friday","5",1,0
"3",3,6,0,1,0,6,1,0,2,"Is Climate Change Likely to Increase Conflict?","2/3/2012",0,207,0,12.647632598877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,7,1,7,0.84509801864624,5.33271884918213,0.84509801864624,0,"2012","3","2",2012-02-03,"Friday","5",1,0
"4",4,4,6,0,1,-2,0.400000005960464,0.600000023841858,1,"The Domestic Sources of Putin's Popularity","2/3/2012",3,1744,0,13.9448070526123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666686534882,-0.176091238856316,1,5,7,0.714285731315613,-0.14612802863121,7.4639368057251,-0.14612802863121,1,"2012","3","2",2012-02-03,"Friday","5",1,0
"5",5,2,0,1,0,2,1,0,1,"Polisci in the Kansas Media","2/3/2012",0,199,0,12.0481653213501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,3,1,3,0.477121263742447,5.29330492019653,0.477121263742447,0,"2012","3","2",2012-02-03,"Friday","5",1,1
"6",6,7,11,0,1,-4,0.388888895511627,0.611111104488373,2,"The Struggling Middle Class","2/2/2012",1,300,0,11.6985712051392,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.636363625526428,-0.196294650435448,1,8,12,0.666666686534882,-0.176091238856316,5.70378255844116,-0.176091238856316,1,"2012","2","2",2012-02-02,"Thursday","4",1,0
"7",7,0,0,0,1,0,NA,NA,0,"Potpourri","2/2/2012",0,62,0,6.50957012176514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,1,1,0,4.12713432312012,0,0,"2012","2","2",2012-02-02,"Thursday","4",1,1
"8",8,6,0,1,0,6,1,0,1,"Did Romney's Ads Win Him Florida?","2/1/2012",0,74,0,6.60108089447021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,7,1,7,0.84509801864624,4.30406522750854,0.84509801864624,0,"2012","1","2",2012-02-01,"Wednesday","3",1,0
"9",9,3,0,1,0,3,1,0,5,"Congressional Republicans and the 2012 Election","2/1/2012",0,311,0,13.132173538208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,4,1,4,0.60206001996994,5.7397928237915,0.60206001996994,0,"2012","1","2",2012-02-01,"Wednesday","3",1,0
"10",10,6,0,1,0,6,1,0,1,"The Mitt-ens Come Off","2/1/2012",2,68,0,9.28434753417969,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,7,1,7,0.84509801864624,4.21950769424438,0.84509801864624,0,"2012","1","2",2012-02-01,"Wednesday","3",1,0
